vehicle_id,last_updated,previous_stop,next_stop,origin_stop,destination_stop,lat,lon,route
2017,2025-11-13T14:49:30-06:00,Pennsylvania Ave. Residence Hall,LAR,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099883,-88.222833,ILLINI North
2367,2025-11-13T14:50:36-06:00,LINC Apartments,Lincoln and Wascher,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.127733,-88.219633,ILLINI South
2020,2025-11-13T14:50:33-06:00,Gregory at Mumford Hall,Fourth and Gregory,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.104183,-88.227833,ILLINI North
2018,2025-11-13T14:50:27-06:00,Lincoln and Oregon,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.104983,-88.219233,ILLINI South
2260,2025-11-13T14:50:39-06:00,First and Stadium,Fourth and Peabody,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.101433,-88.236583,ILLINI South
2261,2025-11-13T14:50:39-06:00,University and Goodwin,Fairview and Lincoln,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.116367,-88.222633,ILLINI North
2022,2025-11-13T14:50:33-06:00,Kettering and Linview,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.132367,-88.217867,ILLINI North
2365,2025-11-13T14:50:30-06:00,Fifth and Armory,Transit Plaza,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.105433,-88.230717,ILLINI North
2017,2025-11-13T14:50:30-06:00,Pennsylvania and Maryland Dr.,Lincoln and Oregon,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.100583,-88.221617,ILLINI North
2367,2025-11-13T14:51:39-06:00,LINC Apartments,Lincoln and Wascher,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.1249,-88.21955,ILLINI South
2020,2025-11-13T14:51:33-06:00,Gregory at Library,Fourth and Peabody,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.104183,-88.228983,ILLINI North
2018,2025-11-13T14:51:27-06:00,LAR,Unknown,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.100333,-88.219117,ILLINI South
